ID  Market  Week
10001  Tulsa  19
10002  Tulsa  12
10003  Tulsa  37
10004  Tulsa  30
10004  Tulsa  47
10005  Tulsa  11
10006  Tulsa  4
10007  Tulsa  3
10007  Tulsa  28
10008  Tulsa  10
10009  Tulsa  3
10009  Tulsa  48
10010  Tulsa  47
10011  Tulsa  17
10011  Tulsa  18
10011  Tulsa  22
10011  Tulsa  24
10012  Tulsa  4
10013  Tulsa  27
10014  Tulsa  30
10015  Tulsa  15
10015  Tulsa  19
10016  Tulsa  47
10016  Tulsa  48
10017  Tulsa  9
10018  Tulsa  28
10018  Tulsa  30
10019  Tulsa  5
10020  Tulsa  6
10020  Tulsa  17
10020  Tulsa  17
10021  Tulsa  4
10022  Tulsa  46
10023  Tulsa  16
10024  Tulsa  8
10025  Tulsa  25
10025  Tulsa  31
10025  Tulsa  48
10026  Tulsa  4
10027  Tulsa  21
10027  Tulsa  47
10028  Tulsa  10
10028  Tulsa  27
10028  Tulsa  29
10028  Tulsa  30
10028  Tulsa  31
10028  Tulsa  32
10028  Tulsa  42
10028  Tulsa  48
10029  Tulsa  1
10029  Tulsa  3
10029  Tulsa  5
10029  Tulsa  9
10029  Tulsa  10
10029  Tulsa  11
10029  Tulsa  16
10029  Tulsa  19
10029  Tulsa  27
10029  Tulsa  43
10029  Tulsa  43
10029  Tulsa  47
10030  Tulsa  4
10030  Tulsa  23
10031  Tulsa  9
10031  Tulsa  10
10032  Tulsa  2
10032  Tulsa  5
10032  Tulsa  6
10032  Tulsa  30
10032  Tulsa  34
10033  Tulsa  9
10033  Tulsa  11
10034  Tulsa  8
10035  Tulsa  2
10035  Tulsa  4
10035  Tulsa  6
10035  Tulsa  8
10035  Tulsa  10
10035  Tulsa  12
10035  Tulsa  13
10035  Tulsa  14
10035  Tulsa  15
10035  Tulsa  19
10035  Tulsa  29
10035  Tulsa  30
10035  Tulsa  36
10035  Tulsa  38
10035  Tulsa  40
10035  Tulsa  42
10035  Tulsa  44
10035  Tulsa  46
10035  Tulsa  48
10035  Tulsa  50
10035  Tulsa  52
10036  Tulsa  6
10036  Tulsa  11
10036  Tulsa  15
10036  Tulsa  23
10036  Tulsa  36
10036  Tulsa  41
10036  Tulsa  42
10037  Tulsa  31
10038  Tulsa  2
10039  Tulsa  30
10039  Tulsa  50
10040  Tulsa  3
10041  Tulsa  6
10041  Tulsa  47
10041  Tulsa  48
10042  Tulsa  5
10042  Tulsa  9
10043  Tulsa  5
10043  Tulsa  11
10044  Tulsa  20
10045  Tulsa  4
